Inizio traning con:  {'name_model': 'distilgpt2', 'eightbit': False, 'name_dataset': 'wikitext', 'device': 'cuda', 'target_sparsity': 0.9, 'ppl_tolerance_frac': 0.05, 'beta': 1.0, 'R_limit': 30, 'num_searches': 64, 'top_k': 32, 'C': 1.5, 'batch_size': 32, 'num_iterations': 50, 'num_selfPlay_iterations': 100, 'num_epochs': 50, 'kl_threshold': 0.1}
[utils] distilgpt2:    786 blocchi da 64 neuroni
[utils] text dataset ('wikitext', 'wikitext-2-raw-v1') – 10 sequenze da 128
PPL baseline (distilgpt2 full): 1441.50


--> inizio ad imparare

Loss:  tensor(1331.6508, device='cuda:0', grad_fn=<AddBackward0>)
Loss:  tensor(1331.6487, device='cuda:0', grad_fn=<AddBackward0>)
Loss:  tensor(1331.6461, device='cuda:0', grad_fn=<AddBackward0>)
Loss:  tensor(1331.7952, device='cuda:0', grad_fn=<AddBackward0>)
Loss:  tensor(1331.6422, device='cuda:0', grad_fn=<AddBackward0>)
Loss:  tensor(1331.6884, device='cuda:0', grad_fn=<AddBackward0>)
Loss:  tensor(1331.6416, device='cuda:0', grad_fn=<AddBackward0>)
Loss:  tensor(1332.1437, device='cuda:0', grad_fn=<AddBackward0>)
Loss:  tensor(1331.6466, device='cuda:0', grad_fn=<AddBackward0>)
Loss:  tensor(1331.6440, device='cuda:0', grad_fn=<AddBackward0>)
Loss:  tensor(1331.6450, device='cuda:0', grad_fn=<AddBackward0>)
Loss:  tensor(1331.7292, device='cuda:0', grad_fn=<AddBackward0>)
Loss:  tensor(1331.9916, device='cuda:0', grad_fn=<AddBackward0>)
Loss:  tensor(1331.9664, device='cuda:0', grad_fn=<AddBackward0>)
Loss:  tensor(1331.9480, device='cuda:0', grad_fn=<AddBackward0>)
Loss:  tensor(1332.2913, device='cuda:0', grad_fn=<AddBackward0>)
Loss:  tensor(1332.0479, device='cuda:0', grad_fn=<AddBackward0>)
Loss:  tensor(1331.8726, device='cuda:0', grad_fn=<AddBackward0>)
Loss:  tensor(1331.7622, device='cuda:0', grad_fn=<AddBackward0>)
Loss:  tensor(1331.6575, device='cuda:0', grad_fn=<AddBackward0>)
Loss:  tensor(1331.6455, device='cuda:0', grad_fn=<AddBackward0>)
Loss:  tensor(1331.6729, device='cuda:0', grad_fn=<AddBackward0>)
Loss:  tensor(1331.6627, device='cuda:0', grad_fn=<AddBackward0>)
Loss:  tensor(1331.7375, device='cuda:0', grad_fn=<AddBackward0>)
Loss:  tensor(1331.6589, device='cuda:0', grad_fn=<AddBackward0>)
